'Page number,'Key,'Value,'Confidence Score % (Key),'Confidence Score % (Value)
"'1","'This Employment Agreement (the 'Agreement') is entered into on this Date:","'","'60.00000381","'60.00000381"
"'1","'Between:","'ABC Corporation (the 'Employer') 123 Business Street, Suite 100 City, State 12345","'95.29509735","'95.29509735"
"'1","'And:","'John Doe (the 'Employee') 456 Residential Ave City, State 67890","'95.11404419","'95.11404419"
"'2","'10.","'Dispute Resolution: Any disputes shall be resolved through arbitration in accordance with state law.","'43.17706299","'43.17706299"
"'1","'1. Position:","'The Employee shall serve as Software Engineer.","'64.77030182","'64.77030182"
"'1","'2. Compensation:","'Annual salary of $80,000, payable bi-weekly.","'54.10485077","'54.10485077"
"'1","'3. Benefits:","'Health insurance, dental, vision, and 401(k).","'51.10614395","'51.10614395"
"'1","'4. Start Date:","'Within 30 days of signing this agreement.","'70.76438141","'70.76438141"
"'1","'5. Vacation:","'15 days paid vacation per year.","'53.72459412","'53.72459412"
"'2","'Employee Initials:","'","'88.39929962","'88.39929962"
"'1","'6. Termination:","'Either party may terminate with 2 weeks notice.","'70.22636414","'70.22636414"
"'1","'Employee Signature:","'","'76.22930908","'76.22930908"
"'1","'Employer","'","'98.48020935","'98.48020935"
"'1","'Signature:","'","'86.19835663","'86.19835663"
"'1","'Print Name:","'","'95.44439697","'95.44439697"
"'1","'Print Name:","'","'97.12468719","'97.12468719"
"'1","'Date:","'","'93.70398712","'93.70398712"
"'1","'Date:","'","'92.70713043","'92.70713043"
"'2","'Page","'2 of 2","'94.07064056","'94.07064056"
"'1","'Page","'1 of 2","'75.52365112","'75.52365112"
"'2","'8. Non-Compete:","'Employee agrees not to work for direct competitors for one year following termination.","'65.62051392","'65.62051392"
"'2","'9. Intellectual Property:","'All work product created during employment belongs to the Employer.","'62.70654678","'62.70654678"
"'2","'Date:","'","'91.68614197","'91.68614197"
"'2","'Witness Signature:","'","'90.04649353","'90.04649353"
"'2","'Print Name:","'","'92.77247620","'92.77247620"
"'2","'Date:","'","'92.60742188","'92.60742188"
